"type","density","pressure","velocity:0","velocity:1","velocity:2","domain","Points:0","Points:1","Points:2"
1,1016.8,58928,0.17758,0,-15.677,1,0.13063,0.00425,0.0087221
1,1012.1,42070,0.3154,0,-18.827,1,0.092308,0.00425,0.666
1,1012.3,42717,0.45079,0,-18.636,1,0.087684,0.00425,0.045037
1,999.73,-930.32,0.68696,0,-10.154,1,0.16025,0.00425,0.33585
1,1013,45176,0.70853,0,-12.917,1,0.14783,0.00425,0.18304
1,1004.4,14750,-0.56336,0,-10.443,1,0.16074,0.00425,0.32044
1,1011.1,38038,0.20907,0,-18.672,1,0.097018,0.00425,0.67423
1,1018.7,66149,-0.19987,0,-18.205,1,0.094034,0.00425,0.16757
1,1012.7,44417,-0.038635,0,-15.312,1,0.13578,0.00425,0.30605
1,1013.1,45165,0.10263,0,-18.558,1,0.07596,0.00425,0.25274
1,1012.4,43119,-0.77885,0,-15.573,1,0.13692,0.00425,0.32345
1,1016.8,59215,-0.51507,0,-18.552,1,0.092153,0.00425,0.16126
1,1008.3,28577,-0.10846,0,-18.522,1,0.10822,0.00425,0.68088
1,1006.5,21596,0.031614,0,-19.229,1,0.079617,0.00425,0.20311
1,1011.3,39072,-0.0651,0,-18.635,1,0.071985,0.00425,0.26845
0,1029.8,1.0901e+05,0,0,0,1,0.17425,0.00425,0.26775
0,1028.8,1.0415e+05,0,0,0,1,0.17425,0.00425,0.01275
1,1014.5,50544,-0.14677,0,-18.203,1,0.10468,0.00425,0.25963
0,1026.4,95313,0,0,0,1,0.17425,0.00425,0.20825
0,1000,4.1803,0,0,0,1,0.19125,0.00425,-0.00425
0,1000,17.594,0,0,0,1,0.19125,0.00425,0.21675
0,1000,5.4638,0,0,0,1,0.19125,0.00425,0.27625
1,1008.4,28557,0.035098,0,-18.933,1,0.085242,0.00425,0.13879
1,1012,41494,0.86944,0,-14.703,1,0.13687,0.00425,0.019701
1,1022.1,79220,-0.20029,0,-18.16,1,0.094135,0.00425,0.016472
1,1019.7,69924,0.28678,0,-15.503,1,0.12794,0.00425,0.017495
1,1012.4,42637,-0.41332,0,-13.924,1,0.14586,0.00425,0.22576
0,1000,4.4393,0,0,0,1,0.19125,0.00425,0.09775
1,1009.1,31174,-0.24533,0,-18.83,1,0.099255,0.00425,0.2398
1,1004.3,15014,-0.41473,0,-10.353,1,0.16029,0.00425,0.028426
1,1018.3,64327,-0.24944,0,-17.611,1,0.058477,0.00425,0.69112
0,1005.9,19945,0,0,0,1,0.18275,0.00425,0.27625
1,1011,37494,-0.21231,0,-16.684,1,0.12203,0.00425,0.20956
1,1014.9,52368,0.48263,0,-18.682,1,0.080018,0.00425,0.13827
1,1013.1,45573,-0.25186,0,-13.518,1,0.14916,0.00425,0.17691
1,1016.3,56729,-0.82598,0,-12.434,1,0.14818,0.00425,0.15003
0,1005.5,18645,0,0,0,1,0.18275,0.00425,0.19975
1,1018.8,66466,0.0031239,0,-18.588,1,0.081569,0.00425,0.047573
1,1017.8,62788,0.3715,0,-12.105,1,0.1499,0.00425,0.67759
1,1008.7,29795,-0.13258,0,-10.904,1,0.15786,0.00425,0.6895
1,1004.3,14616,-0.058586,0,-10.81,1,0.15989,0.00425,0.14414
1,1004.5,14916,-0.36016,0,-18.919,1,0.075414,0.00425,0.1635
1,1007.8,26812,-0.26016,0,-19.234,1,0.087992,0.00425,0.10659
1,1008.8,30386,-0.038071,0,-10.804,1,0.1606,0.00425,0.40562
0,1000,5.814,0,0,0,1,0.19125,0.00425,0.29325
1,1014.8,51423,0.2646,0,-13.975,1,0.14026,0.00425,0.16006
1,1011,37674,-0.14806,0,-18.736,1,0.10017,0.00425,0.18074
0,1006.4,21780,0,0,0,1,0.18275,0.00425,0.21675
1,1015.5,54125,0.0047202,0,-16.19,1,0.12785,0.00425,0.3837
0,1002.9,9600.3,0,0,0,1,0.18275,0.00425,0.17425
0,1003.6,11942,0,0,0,1,0.18275,0.00425,0.04675
1,1015.9,55599,0.05997,0,-18.467,1,0.081532,0.00425,0.14748
1,1006,20475,-0.60046,0,-17.668,1,0.11551,0.00425,0.10138
1,1015.3,53017,-0.18614,0,-18.436,1,0.077254,0.00425,0.19091
0,1000,4.2971,0,0,0,1,0.19125,0.00425,0.30175
1,1015.7,54971,-0.65748,0,-17.032,1,0.11779,0.00425,0.11497
1,1009.8,33848,0.50458,0,-10.439,1,0.15962,0.00425,0.33113
1,1012.7,43782,0.016554,0,-18.663,1,0.076875,0.00425,0.087372
1,1010.8,37375,0.085765,0,-14.03,1,0.13942,0.00425,0.35559
0,1000,2.7489,0,0,0,1,0.19125,0.00425,0.08925
0,1018.3,65196,0,0,0,1,0.17425,0.00425,0.29325
0,1000,3.3222,0,0,0,1,0.19125,0.00425,0.14875
1,1009.2,31548,-0.036054,0,-17.878,1,0.10819,0.00425,0.34007
0,1019.6,69311,0,0,0,1,0.17425,0.00425,0.07225
0,1021.1,74377,0,0,0,1,0.17425,0.00425,0.24225
1,1011.2,38553,0.31194,0,-12.623,1,0.14987,0.00425,0.27018
1,1004.6,15278,-0.56581,0,-18.912,1,0.084864,0.00425,0.1648
1,1013.9,48632,-0.38715,0,-10.855,1,0.15888,0.00425,0.23256
1,1008.4,28458,-0.41813,0,-17.94,1,0.11095,0.00425,0.15528
1,1009.5,32971,0.025854,0,-18.942,1,0.095963,0.00425,0.63045
0,1003.2,10875,0,0,0,1,0.18275,0.00425,0.23375
1,1014.8,51573,0.52746,0,-17.472,1,0.11389,0.00425,0.29466
1,1013.6,47780,0.34412,0,-18.661,1,0.090921,0.00425,0.080979
